code,name,avg_amplitude,adx_ratio,max_rise_6m,ann_volatility
561,烽火电子,3.71,88.3,26.81,51.91
563,陕国投Ａ,1.85,72.5,6.29,22.9
564,供销大集,3.16,73.3,15.38,38.22
565,渝三峡Ａ,3.7,90.8,21.66,44.05
566,海南海药,3.69,70.0,20.99,55.44
567,海德股份,3.3,90.0,36.71,43.27
568,泸州老窖,2.41,86.7,13.97,27.77
570,苏常柴Ａ,3.12,92.5,31.47,29.91
571,新大洲A,5.14,75.0,40.07,53.29
572,海马汽车,3.92,81.7,10.71,59.88
573,粤宏远Ａ,4.11,82.5,33.6,38.94
576,甘化科工,3.39,88.3,15.9,40.98
581,威孚高科,2.49,86.7,25.87,30.08
582,北部湾港,3.97,95.8,64.57,34.43
586,汇源通信,5.08,74.2,89.87,53.15
589,贵州轮胎,2.12,70.0,16.82,22.06
590,古汉医药,3.06,76.7,15.66,39.62
591,太阳能,4.08,92.5,52.28,36.12
592,平潭发展,6.22,98.3,33.06,73.06
593,德龙汇能,6.76,95.8,165.75,67.28
596,古井贡酒,3.02,79.2,12.4,32.65
597,东北制药,2.33,70.0,16.74,24.37
598,兴蓉环境,1.9,66.7,10.14,18.12
599,青岛双星,3.92,96.7,31.77,46.0
600,建投能源,4.3,86.7,56.93,43.25
601,韶能股份,5.05,96.7,97.87,54.5
603,盛达资源,5.37,90.8,130.17,64.43
605,渤海股份,2.89,85.8,12.62,30.52
607,华媒控股,3.82,80.8,32.44,44.64
608,阳光股份,5.33,98.3,240.0,49.6
612,焦作万方,4.66,87.5,49.95,48.02
617,中油资本,3.32,90.0,31.92,49.33
619,海螺新材,3.15,87.5,14.71,33.75
620,盈新发展,5.11,64.2,38.81,64.44
623,吉林敖东,2.04,93.3,11.9,25.61
625,长安汽车,1.65,96.7,7.36,19.58
626,远大控股,4.03,56.7,30.43,45.24
628,高新发展,4.94,93.3,51.72,47.79
629,钒钛股份,4.01,92.5,41.97,41.58
630,铜陵有色,4.7,85.0,68.27,55.19
631,顺发恒能,3.87,75.0,33.86,40.61
633,合金投资,3.66,72.5,13.15,45.63
635,英 力 特,4.24,81.7,22.01,39.23
636,风华高科,5.51,93.3,383.16,55.37
637,茂化实华,3.87,90.8,35.71,45.89
650,仁和药业,1.86,78.3,11.86,25.79
651,格力电器,1.34,84.2,9.7,16.48
652,泰达股份,2.76,92.5,21.37,31.75
655,金岭矿业,3.46,87.5,26.19,42.84
657,中钨高新,6.89,100.0,296.81,67.31
659,珠海中富,5.47,85.8,60.06,47.8
661,长春高新,2.37,84.2,12.72,36.18
663,永安林业,3.6,96.7,15.6,43.1
665,湖北广电,3.32,82.5,14.21,43.83
668,荣丰控股,4.87,89.2,159.18,48.97
670,盈方微,4.64,84.2,43.12,57.82
672,上峰材料,4.57,95.0,85.42,46.57
676,智度股份,3.44,92.5,26.99,40.69
678,襄阳轴承,4.0,97.5,19.39,48.69
679,大连友谊,3.62,65.0,26.76,45.74
680,山推股份,3.75,76.7,24.66,38.57
681,视觉中国,4.46,99.2,62.32,54.83
682,东方电子,3.42,90.8,31.11,37.92
683,博源化工,4.35,81.7,39.5,39.59
685,中山公用,2.62,100.0,23.09,36.11
686,东北证券,2.22,100.0,15.81,30.58
688,国城矿业,7.53,60.0,109.1,66.86
690,宝新能源,3.71,87.5,53.6,33.56
691,亚太实业,4.06,73.3,89.75,58.19
692,惠天热电,4.09,85.8,59.3,41.09
695,滨海能源,4.94,88.3,39.47,59.9
697,炼石航空,3.86,87.5,53.83,36.7
700,模塑科技,5.84,80.0,73.83,61.9
701,厦门信达,3.68,72.5,15.73,50.59
702,正虹科技,3.62,70.0,19.83,37.07
703,恒逸石化,5.91,92.5,119.98,47.51
705,浙江震元,2.64,86.7,11.96,30.34
707,双环科技,3.09,82.5,12.23,26.77
708,中信特钢,2.92,75.0,21.98,28.12
709,河钢股份,2.76,73.3,16.88,28.53
710,贝瑞基因,3.62,85.0,34.41,45.35
712,锦龙股份,3.37,85.8,15.78,38.0
713,国投丰乐,2.29,96.7,11.48,20.2
715,中兴商业,3.7,90.8,23.02,33.49
716,黑芝麻,3.26,100.0,33.12,36.88
717,中南股份,2.98,53.3,16.13,30.64
718,苏宁环球,3.13,71.7,18.56,40.06
719,中原传媒,2.86,68.3,24.46,26.3
720,新能泰山,5.31,77.5,104.89,57.34
721,西安饮食,2.86,100.0,11.76,33.81
722,湖南发展,4.2,90.0,56.93,48.9
723,美锦能源,3.48,92.5,19.91,37.52
725,京东方Ａ,3.37,95.0,80.47,35.49
726,鲁  泰Ａ,2.1,81.7,10.53,21.66
727,冠捷科技,4.04,81.7,21.37,41.89
728,国元证券,1.93,85.8,10.09,22.83
729,燕京啤酒,2.99,93.3,27.55,29.08
731,四川美丰,3.14,79.2,31.5,28.34
733,振华科技,3.62,95.0,40.32,39.83
735,罗 牛 山,3.3,63.3,11.79,45.88
736,中交发展,3.03,96.7,19.08,36.36
737,北方铜业,4.24,66.7,44.96,54.51
738,航发控制,4.41,90.8,46.96,39.85
739,普洛药业,3.4,59.2,20.66,31.36
750,国海证券,1.96,75.0,11.92,26.0
751,锌业股份,5.14,95.0,92.71,54.89
753,漳州发展,3.54,73.3,20.66,54.26
755,山西高速,2.51,96.7,12.5,25.39
756,新华制药,1.95,92.5,12.47,31.38
757,浩物股份,3.13,83.3,10.56,38.83
758,中色股份,4.17,84.2,46.75,47.45
759,中百集团,4.47,71.7,32.93,47.76
761,本钢板材,3.83,92.5,18.75,30.92
762,西藏矿业,5.07,93.3,55.23,48.09
766,通化金马,3.64,86.7,39.49,41.59
767,晋控电力,5.57,81.7,119.29,52.68
768,中航西飞,3.17,76.7,28.57,35.02
776,广发证券,2.73,100.0,31.38,32.66
777,中核科技,3.76,86.7,47.94,51.46
778,新兴铸管,2.82,80.8,28.78,28.68
779,甘咨询,2.94,82.5,31.91,26.45
782,恒申新材,4.66,86.7,83.06,41.88
783,长江证券,2.72,100.0,44.87,36.21
785,居然智家,3.27,91.7,23.63,38.89
786,北新建材,3.13,70.8,20.08,27.73
788,北大医药,3.22,85.0,34.7,41.55
789,万年青,2.06,80.8,12.06,26.64
790,华神科技,3.66,55.8,28.49,32.17
791,甘肃能源,4.37,67.5,66.4,41.2
792,盐湖股份,4.19,65.8,49.46,42.33
795,英洛华,2.92,62.5,25.52,34.44
796,凯撒旅业,3.68,69.2,21.93,58.83
797,中国武夷,3.4,71.7,11.81,46.19
798,中水渔业,3.63,86.7,20.23,50.59
799,酒鬼酒,3.63,77.5,16.68,43.34
800,一汽解放,1.91,86.7,16.4,20.49
801,四川九洲,3.24,82.5,12.4,36.47
802,北京文化,4.11,94.2,40.21,44.55
803,山高环能,4.98,100.0,49.93,48.8
807,云铝股份,4.62,78.3,34.34,47.88
809,和展能源,4.13,70.8,33.23,44.12
810,创维数字,3.34,85.0,29.89,35.64
811,冰轮环境,5.47,96.7,185.52,59.27
812,陕西金叶,2.78,85.0,14.4,29.52
813,德展健康,3.56,89.2,38.29,42.41
815,美利云,5.81,80.8,108.92,56.59
816,智慧农业,4.0,84.2,18.99,36.49
818,航锦科技,4.68,97.5,34.24,47.48
819,岳阳兴长,3.83,77.5,22.2,41.79
822,山东海化,4.45,83.3,37.9,39.95
823,超声电子,4.67,89.2,89.93,53.17
825,太钢不锈,3.28,100.0,13.93,33.44
828,东莞控股,1.67,50.0,9.26,19.58
829,天音控股,3.96,62.5,28.47,35.25
830,鲁西化工,4.98,86.7,34.14,47.76
831,中国稀土,4.81,84.2,46.84,55.0
833,粤桂股份,5.56,76.7,71.65,58.06
837,秦川机床,3.17,76.7,31.06,36.01
839,国安股份,3.97,99.2,52.49,43.7
848,承德露露,1.74,61.7,18.84,19.94
850,华茂股份,3.72,92.5,27.31,35.99
852,石化机械,3.63,81.7,26.64,37.88
856,冀东装备,3.73,95.0,23.61,39.56
858,五 粮 液,1.82,73.3,10.0,20.15
859,国风新材,5.59,85.0,50.17,63.11
860,顺鑫农业,2.01,60.8,10.26,21.24
862,银星能源,4.55,94.2,54.81,41.04
863,三湘印象,5.6,87.5,31.08,50.95
868,安凯客车,2.5,77.5,9.95,26.35
869,张  裕Ａ,1.67,80.0,7.04,17.07
875,电投绿能,4.13,68.3,43.73,37.27
876,新 希 望,1.96,90.0,9.98,19.36
877,天山股份,2.56,89.2,8.82,38.07
878,云南铜业,4.57,86.7,65.89,50.74
880,潍柴重机,4.71,94.2,47.12,58.04
881,中广核技,3.23,75.8,13.75,41.14
882,华联股份,2.97,84.2,10.97,33.2
883,湖北能源,2.35,80.0,19.65,20.77
885,城发环境,1.86,100.0,10.02,23.4
886,海南高速,2.85,54.2,11.08,38.2
887,中鼎股份,3.25,96.7,30.7,41.23
888,峨眉山Ａ,2.6,75.8,10.98,31.17
889,中嘉博创,5.34,74.2,83.22,63.84
890,法尔胜,6.8,85.8,247.34,69.68
892,欢瑞世纪,4.87,84.2,44.3,66.67
893,亚钾国际,4.8,87.5,49.03,43.96
895,双汇发展,1.87,80.8,14.42,15.19
897,津滨发展,2.66,61.7,9.0,26.5
898,鞍钢股份,2.89,74.2,11.98,28.14
899,赣能股份,4.56,63.3,63.25,43.98
900,现代投资,1.73,88.3,8.22,21.37
901,航天科技,4.64,80.0,57.02,60.19
902,新洋丰,3.36,86.7,23.33,31.23
905,厦门港务,3.89,81.7,13.35,51.39
906,浙商中拓,2.38,96.7,28.41,23.85
908,景峰医药,3.78,87.5,106.06,44.02
910,大亚圣象,2.61,82.5,13.0,26.66
912,泸天化,4.24,85.8,55.9,39.98
913,钱江摩托,2.73,65.8,18.98,33.15
915,华特达因,1.74,73.3,8.12,23.28
917,电广传媒,4.35,93.3,33.77,46.21
919,金陵药业,3.11,82.5,35.34,31.93
920,沃顿科技,3.63,93.3,41.35,41.05
921,海信家电,2.45,80.8,38.4,26.15
922,佳电股份,4.05,93.3,37.27,40.55
923,河钢资源,4.18,87.5,37.38,40.08
925,众合科技,4.14,95.8,72.34,42.19
926,福星股份,3.68,72.5,33.51,43.54
927,中国铁物,2.99,74.2,28.96,31.24
928,中钢国际,2.97,65.8,15.75,29.47
929,兰州黄河,3.73,99.2,33.72,34.44
930,中粮科技,3.15,85.0,37.95,27.53
931,中 关 村,2.75,72.5,17.25,27.24
932,华菱钢铁,3.33,78.3,23.91,34.55
933,神火股份,4.39,86.7,44.1,44.88
935,四川双马,3.75,82.5,46.51,41.63
936,华西股份,3.54,92.5,21.71,38.25
937,冀中能源,2.38,68.3,13.08,23.32
938,紫光股份,4.19,46.7,40.77,39.72
948,南天信息,2.77,84.2,14.8,32.47
949,新乡化纤,6.0,72.5,63.12,49.7
950,重药控股,3.27,95.8,37.07,37.64
951,中国重汽,3.76,86.7,59.41,33.74
952,广济药业,3.75,84.2,21.46,44.94
953,中哲精化,3.05,91.7,11.01,42.8
955,欣龙控股,4.03,70.8,26.57,48.56
957,中通客车,2.88,68.3,20.85,27.74
958,电投产融,2.65,74.2,15.56,29.91
959,首钢股份,3.46,81.7,36.56,35.21
960,锡业股份,5.64,81.7,81.57,62.19
962,东方钽业,6.58,83.3,146.11,64.16
963,华东医药,2.24,63.3,10.09,27.78
965,天保基建,2.77,54.2,19.43,38.62
966,长源电力,3.87,86.7,37.47,33.26
967,盈峰环境,5.16,83.3,140.76,49.22
968,蓝焰控股,4.37,73.3,75.3,49.47
969,安泰科技,4.18,95.0,46.03,52.16
970,中科三环,3.29,74.2,36.18,41.93
973,佛塑科技,6.04,92.5,81.79,60.03
975,山金国际,4.68,93.3,60.75,49.91
977,浪潮信息,4.25,63.3,38.85,45.27
978,桂林旅游,3.61,65.0,32.4,34.7
980,众泰汽车,5.07,79.2,37.2,56.13
981,山子高科,4.98,63.3,70.78,63.83
983,山西焦煤,3.15,80.8,23.26,37.03
985,大庆华科,3.8,85.8,29.21,37.98
987,越秀资本,3.59,100.0,58.19,39.01
988,华工科技,5.54,89.2,140.58,58.26
989,九芝堂,2.29,75.0,18.33,38.97
990,诚志股份,4.27,93.3,66.92,38.88
993,闽东电力,4.65,93.3,38.34,52.63
995,皇台酒业,4.73,85.8,60.59,48.21
997,新 大 陆,3.38,94.2,31.46,37.47
998,隆平高科,2.33,81.7,17.94,21.25
999,华润三九,1.63,81.7,8.04,16.83
1201,东瑞股份,2.46,66.7,8.23,25.93
1202,炬申股份,3.19,74.2,43.38,42.55
1203,大中矿业,6.92,70.8,95.96,67.11
1205,盛航股份,2.48,82.5,12.73,24.53
1206,依依股份,3.02,91.7,18.39,47.09
1207,联科科技,3.88,96.7,33.04,40.25
1208,华菱线缆,5.65,87.5,56.48,58.36
1209,洪兴股份,3.94,77.5,61.31,49.22
1210,金房能源,4.97,88.3,120.4,45.37
1211,双枪科技,4.82,96.7,140.38,48.26
1212,中旗新材,4.55,83.3,33.77,53.38
1213,中铁特货,1.61,79.2,8.16,18.72
1215,千味央厨,5.01,100.0,45.39,46.36
1216,华瓷股份,4.05,97.5,28.62,52.19
1896,豫能控股,7.53,80.8,336.54,68.45
1914,招商积余,2.78,85.0,14.1,28.38
1965,招商公路,2.0,89.2,16.97,19.82
1979,招商蛇口,3.68,96.7,27.72,31.88
2001,新 和 成,3.86,95.0,61.04,32.85
2003,伟星股份,2.24,97.5,8.16,20.88
2004,华邦健康,2.84,71.7,23.23,29.67
2006,精工科技,3.15,81.7,17.94,39.04
2007,华兰生物,1.66,98.3,10.36,18.37
2008,大族激光,5.93,100.0,303.52,58.19
2009,天奇股份,5.35,91.7,130.82,52.9
2010,传化智联,2.65,93.3,22.38,29.84
2011,盾安环境,2.61,91.7,12.75,30.08
2012,凯恩股份,4.36,82.5,60.57,43.06
2014,永新股份,2.19,75.8,12.68,21.23
2015,协鑫能科,5.92,99.2,144.85,62.45
2016,世荣兆业,3.23,81.7,13.88,29.04
2017,东信和平,3.74,99.2,37.25,60.85
2019,亿帆医药,2.78,91.7,22.73,34.7
2020,京新药业,2.96,85.0,17.69,39.99
2021,中捷资源,4.76,99.2,55.14,45.52
2022,科华生物,2.83,93.3,19.56,34.48
2023,海特高新,3.98,95.8,40.18,45.73
2025,航天电器,5.98,84.2,79.84,52.71
2026,山东威达,3.27,70.0,21.28,39.94
2027,分众传媒,2.55,81.7,12.61,25.34
2028,思源电气,4.55,68.3,60.1,49.59
2029,七 匹 狼,4.12,91.7,28.73,52.69
2030,达安基因,3.12,100.0,29.36,39.25
2031,巨轮智能,4.34,95.8,48.94,45.98
2032,苏 泊 尔,1.87,85.8,17.52,17.38
2033,丽江股份,2.81,85.0,31.23,29.71
2034,旺能环境,3.33,100.0,45.12,27.82
2035,华帝股份,2.27,64.2,19.79,21.5
2036,联创电子,4.36,93.3,40.36,43.17
2037,保利联合,2.99,94.2,17.26,40.77
2038,双鹭药业,3.86,80.8,63.27,43.07
2039,黔源电力,3.46,97.5,38.72,29.89
2040,南 京 港,3.23,85.8,34.25,53.59
2041,登海种业,3.39,100.0,30.96,28.78
2042,华孚时尚,4.22,91.7,41.32,42.08
2043,兔 宝 宝,4.24,98.3,33.57,37.01
2044,美年健康,4.39,85.8,64.6,46.53
2045,国光电器,2.98,88.3,11.42,36.67
2046,国机精工,5.74,85.0,73.75,64.54
2047,宝鹰股份,4.58,62.5,59.29,46.66
2048,宁波华翔,4.58,95.0,30.65,52.37
2049,紫光国微,3.29,82.5,32.93,39.26
2050,三花智控,4.05,100.0,34.99,48.91
2051,中工国际,4.33,66.7,63.94,48.11
2052,同洲电子,4.25,75.8,26.91,58.59
2053,云南能投,3.33,82.5,24.66,41.27
2054,德美化工,4.17,90.8,56.15,43.5
2056,横店东磁,4.27,76.7,67.14,46.05
2057,中钢天源,3.25,70.8,53.69,40.42
2058,威尔泰,4.05,86.7,40.54,47.11
2059,云南旅游,2.61,83.3,13.55,38.01
2060,广东建工,2.48,70.8,17.34,29.17
2061,浙江交科,1.82,71.7,6.99,18.73
2062,宏润建设,4.58,90.8,42.53,53.49
2063,远光软件,3.02,77.5,26.09,30.51
2064,华峰化学,4.95,73.3,34.99,42.52
2065,东华软件,2.8,92.5,19.8,37.04
2066,瑞泰科技,4.49,88.3,53.73,44.56
2067,景兴纸业,3.59,78.3,18.68,49.65
2068,黑猫股份,4.69,79.2,54.46,47.81
2069,獐子岛,3.12,70.8,16.77,37.71
2072,凯瑞德,4.98,70.0,38.31,50.25
2073,软控股份,2.56,100.0,11.03,32.13
2074,国轩高科,3.38,90.0,21.22,43.77
2075,沙钢股份,3.02,78.3,15.7,32.22
2076,星光股份,3.61,75.8,42.86,38.8
2077,大港股份,3.95,84.2,30.02,44.33
2078,太阳纸业,3.01,78.3,16.44,25.95
2079,苏州固锝,3.64,83.3,51.9,33.37
2080,中材科技,6.07,76.7,156.68,67.42
2081,金 螳 螂,4.85,73.3,150.32,52.11
2083,孚日股份,4.96,81.7,45.77,59.85
2084,海鸥住工,3.77,81.7,15.29,49.45
2085,万丰奥威,3.14,93.3,19.49,32.98
2086,东方海洋,2.96,63.3,13.0,36.4
2088,鲁阳节能,3.28,100.0,27.45,37.13
2090,金智科技,3.32,81.7,13.78,38.6
2091,江苏国泰,2.77,89.2,15.41,33.85
2092,中泰化学,5.36,94.2,85.0,42.99
2093,国脉科技,2.72,100.0,12.21,38.14
2094,青岛金王,3.36,98.3,23.59,39.77
2095,生 意 宝,3.4,75.0,18.46,36.26
2096,易普力,2.73,78.3,20.73,37.6
2097,山河智能,2.58,86.7,8.82,48.54
2098,浔兴股份,3.33,91.7,13.36,35.02
2099,海翔药业,4.54,85.0,47.91,46.02
2100,天康生物,3.22,75.0,20.79,32.97
2101,广东鸿图,2.15,90.0,8.89,26.15
2103,广博股份,2.68,85.8,14.49,39.35
2104,恒宝股份,3.66,93.3,15.69,62.45
2105,信隆健康,3.6,82.5,12.98,43.26
2106,莱宝高科,3.54,95.0,51.2,37.38
2107,沃华医药,3.57,96.7,36.07,41.39
2108,沧州明珠,3.81,75.8,47.71,46.4
2110,三钢闽光,3.18,68.3,13.29,36.45
2111,威海广泰,2.82,90.8,26.8,28.2
2112,三变科技,5.6,62.5,108.37,56.76
2114,罗平锌电,4.67,75.8,36.93,51.95
2115,三维通信,4.65,89.2,81.73,61.56
2116,中国海诚,2.15,85.0,10.18,24.55
2117,东港股份,2.97,78.3,12.77,34.01
2119,康强电子,5.25,85.0,114.61,51.09
2120,韵达股份,2.05,70.0,27.92,29.44
2121,科陆电子,4.49,93.3,34.47,52.96
2123,梦网科技,3.6,82.5,17.52,39.63
2124,天邦食品,3.84,90.8,37.72,38.21
2125,湘潭电化,4.54,93.3,61.0,50.89
2126,银轮股份,5.26,91.7,75.12,53.91
2127,南极电商,3.03,75.8,25.29,31.5
2128,电投能源,3.97,86.7,30.34,38.35
2129,TCL中环,4.61,91.7,40.05,45.5
2130,沃尔核材,3.75,80.0,28.03,48.83
2131,利欧股份,5.23,82.5,109.09,62.1
2132,恒星科技,4.43,84.2,79.6,40.99
2133,广宇集团,3.58,78.3,18.02,37.66
2134,天津普林,4.85,90.8,67.53,50.79
2135,东南网架,5.39,91.7,107.56,42.28
2136,安 纳 达,4.41,85.0,33.96,50.28
2137,实益达,3.79,87.5,42.21,39.99
2138,顺络电子,4.53,74.2,128.43,48.11
2139,拓邦股份,2.49,95.8,8.6,28.04
2140,东华科技,3.22,100.0,31.86,37.14
2141,贤丰控股,3.87,75.0,63.37,53.46
2142,宁波银行,2.29,95.8,19.82,22.1
2144,宏达高科,3.74,90.0,37.44,31.61
2145,钛能化学,3.58,61.7,19.18,39.96
2146,荣盛发展,3.84,70.0,22.08,43.32
2148,北纬科技,2.95,92.5,15.73,45.13
2149,西部材料,7.42,82.5,109.56,66.72
2150,正泰电源,5.98,82.5,103.29,64.54
2151,北斗星通,4.84,100.0,101.99,47.57
2152,广电运通,2.73,85.8,16.78,29.95
2153,石基信息,4.19,98.3,57.73,51.69
2154,报 喜 鸟,2.29,81.7,33.83,29.26
2155,湖南黄金,4.27,82.5,102.93,55.13
2156,通富微电,5.03,79.2,110.75,54.23
2157,正邦科技,3.41,98.3,16.83,30.92
2158,汉钟精机,4.28,90.0,64.03,55.45
2159,三特索道,3.77,81.7,35.3,32.05
